iter	Passed	Remaining
0	57	57664
1	58	28956
2	58	19361
3	58	14593
4	58	11719
5	59	9811
6	59	8453
7	59	7426
8	60	6631
9	60	6004
10	61	5484
11	61	5046
12	61	4679
13	61	4359
14	62	4086
15	62	3844
16	62	3635
17	63	3455
18	63	3290
19	63	3134
20	64	2998
21	64	2876
22	64	2760
23	65	2652
24	65	2554
25	65	2462
26	65	2378
27	66	2299
28	66	2229
29	66	2161
30	67	2097
31	67	2038
32	67	1984
33	68	1935
34	68	1886
35	68	1839
36	68	1794
37	69	1752
38	69	1715
39	69	1678
40	70	1644
41	70	1609
42	70	1575
43	71	1544
44	71	1513
45	71	1484
46	71	1457
47	72	1432
48	72	1408
49	72	1384
50	73	1363
51	73	1340
52	73	1319
53	74	1300
54	74	1280
55	74	1260
56	75	1241
57	75	1223
58	75	1205
59	75	1189
60	76	1173
61	76	1158
62	76	1142
63	77	1127
64	77	1112
65	77	1098
66	78	1086
67	78	1073
68	78	1062
69	79	1050
70	79	1038
71	79	1027
72	80	1016
73	80	1006
74	80	995
75	80	984
76	81	973
77	81	963
78	81	953
79	82	943
80	82	934
81	82	924
82	82	914
83	83	905
84	83	897
85	83	889
86	84	882
87	84	874
88	84	867
89	84	859
90	85	851
91	85	844
92	85	838
93	86	831
94	86	824
95	86	817
96	87	811
97	87	804
98	87	798
99	87	791
100	88	785
101	88	779
102	88	772
103	89	766
104	89	760
105	89	755
106	89	749
107	90	743
108	90	738
109	90	733
110	90	727
111	91	722
112	91	717
113	91	712
114	92	708
115	92	703
116	92	697
117	92	693
118	92	688
119	93	683
120	93	679
121	93	674
122	94	670
123	94	666
124	94	662
125	94	658
126	95	654
127	95	650
128	95	646
129	96	642
130	96	638
131	96	634
132	96	631
133	97	627
134	97	623
135	97	620
136	97	617
137	98	613
138	98	610
139	98	607
140	99	604
141	99	600
142	99	596
143	99	593
144	100	590
145	100	586
146	100	584
147	101	581
148	101	578
149	101	575
150	101	572
151	102	569
152	102	566
153	102	563
154	102	561
155	103	558
156	103	555
157	103	553
158	104	550
159	104	547
160	104	544
161	104	542
162	105	539
163	105	536
164	105	534
165	105	531
166	106	528
167	106	526
168	106	523
169	106	521
170	107	519
171	107	516
172	107	514
173	107	512
174	108	509
175	108	507
176	108	505
177	109	503
178	109	501
179	109	499
180	109	496
181	110	495
182	110	493
183	110	491
184	111	489
185	111	487
186	111	485
187	112	483
188	112	481
189	112	479
190	112	478
191	113	476
192	113	474
193	113	472
194	114	470
195	114	469
196	114	467
197	115	465
198	115	464
199	115	462
200	115	460
201	116	459
202	116	457
203	116	455
204	117	454
205	117	452
206	117	450
207	117	449
208	118	447
209	118	446
210	119	444
211	119	443
212	119	441
213	119	440
214	120	438
215	120	437
216	120	436
217	121	434
218	121	433
219	121	431
220	122	430
221	122	428
222	122	427
223	122	425
224	123	424
225	123	423
226	123	422
227	124	421
228	124	420
229	125	418
230	125	417
231	125	416
232	125	414
233	126	413
234	126	411
235	126	410
236	127	409
237	127	407
238	127	406
239	127	405
240	128	404
241	128	402
242	128	401
243	129	400
244	129	399
245	129	398
246	130	397
247	130	396
248	131	395
249	131	394
250	131	393
251	132	392
252	132	390
253	132	389
254	133	388
255	133	387
256	133	386
257	134	385
258	134	384
259	134	383
260	135	382
261	135	380
262	135	379
263	136	379
264	136	378
265	136	377
266	137	376
267	137	375
268	137	374
269	138	373
270	138	372
271	138	371
272	139	370
273	139	370
274	139	368
275	140	367
276	140	366
277	140	365
278	141	364
279	141	363
280	141	362
281	141	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	355
288	144	354
289	144	353
290	144	353
291	145	351
292	145	351
293	145	350
294	146	349
295	146	348
296	146	347
297	147	346
298	147	345
299	147	344
300	148	344
301	148	343
302	148	342
303	149	341
304	149	340
305	149	339
306	150	339
307	150	338
308	151	337
309	151	336
310	151	336
311	152	335
312	152	334
313	152	333
314	153	332
315	153	331
316	153	330
317	153	330
318	154	329
319	154	328
320	154	327
321	155	326
322	155	326
323	155	325
324	156	324
325	156	323
326	156	322
327	157	321
328	157	321
329	157	320
330	158	319
331	158	318
332	158	318
333	159	317
334	159	316
335	159	315
336	160	314
337	160	314
338	160	313
339	161	312
340	161	311
341	161	311
342	162	310
343	162	309
344	162	309
345	163	308
346	163	308
347	163	307
348	164	306
349	164	305
350	164	304
351	165	304
352	165	303
353	165	302
354	166	302
355	166	301
356	166	300
357	167	299
358	167	299
359	167	298
360	168	297
361	168	296
362	168	296
363	169	295
364	169	294
365	169	294
366	170	293
367	170	292
368	170	291
369	170	291
370	171	290
371	171	289
372	172	289
373	172	288
374	172	287
375	173	287
376	173	286
377	173	285
378	173	285
379	174	284
380	174	283
381	174	282
382	175	282
383	175	281
384	175	280
385	176	279
386	176	279
387	176	278
388	176	277
389	177	277
390	177	276
391	177	275
392	178	275
393	178	274
394	178	273
395	178	273
396	179	272
397	179	271
398	179	270
399	180	270
400	180	269
401	180	268
402	181	268
403	181	267
404	181	266
405	181	266
406	182	265
407	182	264
408	182	263
409	182	263
410	183	262
411	183	261
412	183	260
413	183	260
414	184	259
415	184	258
416	184	258
417	184	257
418	185	256
419	185	255
420	185	255
421	185	254
422	185	253
423	186	253
424	186	252
425	186	251
426	186	250
427	187	250
428	187	249
429	187	248
430	187	248
431	188	247
432	188	246
433	188	246
434	188	245
435	189	244
436	189	244
437	189	243
438	189	242
439	190	242
440	190	241
441	190	240
442	190	240
443	191	239
444	191	238
445	191	238
446	192	237
447	192	236
448	192	236
449	192	235
450	193	234
451	193	234
452	193	233
453	193	233
454	194	232
455	194	231
456	194	231
457	194	230
458	195	229
459	195	229
460	195	228
461	195	227
462	195	227
463	196	226
464	196	226
465	196	225
466	196	224
467	197	224
468	197	223
469	197	222
470	197	222
471	198	221
472	198	221
473	198	220
474	198	219
475	199	219
476	199	218
477	199	217
478	199	217
479	200	216
480	200	216
481	200	215
482	200	214
483	201	214
484	201	213
485	201	213
486	201	212
487	202	211
488	202	211
489	202	210
490	202	210
491	203	209
492	203	209
493	203	208
494	203	207
495	203	207
496	204	206
497	204	206
498	204	205
499	204	204
500	205	204
501	205	203
502	205	203
503	205	202
504	206	202
505	206	201
506	206	200
507	206	200
508	207	199
509	207	199
510	207	198
511	207	198
512	208	197
513	208	197
514	208	196
515	208	195
516	209	195
517	209	194
518	209	194
519	209	193
520	210	193
521	210	192
522	210	192
523	210	191
524	211	191
525	211	190
526	211	189
527	211	189
528	212	188
529	212	188
530	212	187
531	212	187
532	213	186
533	213	186
534	213	185
535	213	185
536	214	184
537	214	184
538	214	183
539	214	183
540	215	182
541	215	181
542	215	181
543	215	180
544	216	180
545	216	179
546	216	179
547	216	178
548	217	178
549	217	177
550	217	177
551	217	176
552	218	176
553	218	175
554	218	175
555	218	174
556	219	174
557	219	173
558	219	173
559	219	172
560	220	172
561	220	171
562	220	171
563	220	170
564	220	170
565	221	169
566	221	169
567	221	168
568	221	168
569	222	167
570	222	167
571	222	166
572	223	166
573	223	165
574	223	165
575	223	164
576	224	164
577	224	163
578	224	163
579	224	162
580	225	162
581	225	161
582	225	161
583	225	160
584	226	160
585	226	159
586	226	159
587	226	158
588	227	158
589	227	157
590	227	157
591	227	156
592	227	156
593	228	156
594	228	155
595	228	155
596	228	154
597	229	154
598	229	153
599	229	153
600	229	152
601	230	152
602	230	151
603	230	151
604	230	150
605	231	150
606	231	149
607	231	149
608	231	148
609	232	148
610	232	147
611	232	147
612	232	146
613	233	146
614	233	146
615	233	145
616	233	145
617	233	144
618	234	144
619	234	143
620	234	143
621	234	142
622	235	142
623	235	141
624	235	141
625	235	140
626	236	140
627	236	139
628	236	139
629	236	139
630	237	138
631	237	138
632	237	137
633	237	137
634	237	136
635	238	136
636	238	135
637	238	135
638	239	135
639	239	134
640	239	134
641	239	133
642	240	133
643	240	132
644	240	132
645	240	132
646	241	131
647	241	131
648	241	130
649	242	130
650	242	129
651	242	129
652	242	129
653	243	128
654	243	128
655	243	127
656	243	127
657	243	126
658	244	126
659	244	125
660	244	125
661	244	125
662	245	124
663	245	124
664	245	123
665	246	123
666	246	122
667	246	122
668	247	122
669	247	121
670	247	121
671	247	121
672	248	120
673	248	120
674	249	119
675	249	119
676	249	119
677	250	118
678	250	118
679	251	118
680	251	117
681	252	117
682	252	117
683	252	116
684	253	116
685	253	116
686	254	115
687	254	115
688	254	114
689	254	114
690	255	114
691	255	113
692	255	113
693	255	112
694	256	112
695	256	111
696	256	111
697	256	111
698	257	110
699	257	110
700	257	109
701	257	109
702	258	109
703	258	108
704	258	108
705	258	107
706	258	107
707	259	106
708	259	106
709	259	106
710	259	105
711	260	105
712	260	104
713	260	104
714	260	104
715	261	103
716	261	103
717	261	102
718	261	102
719	262	101
720	262	101
721	262	101
722	262	100
723	263	100
724	263	99
725	263	99
726	263	99
727	264	98
728	264	98
729	264	97
730	264	97
731	265	97
732	265	96
733	265	96
734	265	95
735	265	95
736	266	94
737	266	94
738	266	94
739	266	93
740	267	93
741	267	92
742	267	92
743	267	92
744	268	91
745	268	91
746	268	90
747	268	90
748	269	90
749	269	89
750	269	89
751	269	88
752	270	88
753	270	88
754	270	87
755	270	87
756	271	87
757	271	86
758	271	86
759	271	85
760	272	85
761	272	85
762	272	84
763	272	84
764	272	83
765	273	83
766	273	83
767	273	82
768	273	82
769	274	81
770	274	81
771	274	81
772	274	80
773	275	80
774	275	79
775	275	79
776	275	79
777	276	78
778	276	78
779	276	77
780	276	77
781	276	77
782	277	76
783	277	76
784	277	76
785	277	75
786	278	75
787	278	74
788	278	74
789	278	74
790	279	73
791	279	73
792	279	72
793	279	72
794	280	72
795	280	71
796	280	71
797	280	71
798	281	70
799	281	70
800	281	69
801	281	69
802	282	69
803	282	68
804	282	68
805	282	68
806	282	67
807	283	67
808	283	66
809	283	66
810	283	66
811	284	65
812	284	65
813	284	65
814	284	64
815	285	64
816	285	63
817	285	63
818	285	63
819	286	62
820	286	62
821	286	62
822	286	61
823	287	61
824	287	60
825	287	60
826	287	60
827	288	59
828	288	59
829	288	59
830	288	58
831	289	58
832	289	58
833	289	57
834	289	57
835	290	56
836	290	56
837	290	56
838	290	55
839	291	55
840	291	55
841	291	54
842	291	54
843	291	53
844	292	53
845	292	53
846	292	52
847	292	52
848	293	52
849	293	51
850	293	51
851	293	51
852	294	50
853	294	50
854	294	49
855	294	49
856	295	49
857	295	48
858	295	48
859	295	48
860	296	47
861	296	47
862	296	47
863	296	46
864	297	46
865	297	45
866	297	45
867	297	45
868	297	44
869	298	44
870	298	44
871	298	43
872	298	43
873	299	43
874	299	42
875	299	42
876	299	42
877	300	41
878	300	41
879	300	41
880	300	40
881	301	40
882	301	39
883	301	39
884	301	39
885	302	38
886	302	38
887	302	38
888	302	37
889	303	37
890	303	37
891	303	36
892	303	36
893	304	36
894	304	35
895	304	35
896	304	35
897	305	34
898	305	34
899	305	33
900	305	33
901	306	33
902	306	32
903	306	32
904	306	32
905	306	31
906	307	31
907	307	31
908	307	30
909	307	30
910	308	30
911	308	29
912	308	29
913	308	29
914	309	28
915	309	28
916	309	28
917	309	27
918	310	27
919	310	26
920	310	26
921	310	26
922	311	25
923	311	25
924	311	25
925	311	24
926	311	24
927	312	24
928	312	23
929	312	23
930	312	23
931	313	22
932	313	22
933	313	22
934	313	21
935	314	21
936	314	21
937	314	20
938	314	20
939	314	20
940	315	19
941	315	19
942	315	19
943	315	18
944	316	18
945	316	18
946	316	17
947	317	17
948	317	17
949	317	16
950	317	16
951	318	16
952	318	15
953	318	15
954	318	15
955	319	14
956	319	14
957	319	14
958	319	13
959	320	13
960	320	12
961	320	12
962	320	12
963	321	11
964	321	11
965	321	11
966	321	10
967	321	10
968	322	10
969	322	9
970	322	9
971	322	9
972	323	8
973	323	8
974	323	8
975	323	7
976	324	7
977	324	7
978	324	6
979	324	6
980	324	6
981	325	5
982	325	5
983	325	5
984	325	4
985	326	4
986	326	4
987	326	3
988	326	3
989	327	3
990	327	2
991	327	2
992	327	2
993	328	1
994	328	1
995	328	1
996	328	0
997	329	0
998	329	0
999	329	0
